,pt_y1,eta_y1,phi_y1,e_y1,pt_y2,eta_y2,phi_y2,e_y2,myy,label
106,40.2597,-1.56352,1.28536,100.348,32.9162,0.643779,-2.03863,39.9761,121.654,0
107,135.967,0.345404,-2.09235,144.159,39.4443,0.350773,-0.0873196,41.8959,123.447,0
108,52.8349,-0.265377,1.85161,54.7063,39.6384,1.1549,-1.07543,69.1449,115.175,0
109,57.1988,-0.886327,-1.18425,81.1757,52.6399,0.624116,2.19361,63.2293,141.969,0
110,39.2663,0.466353,0.287395,43.6142,29.2811,-1.93364,-1.76599,103.352,117.667,0
111,58.5493,1.05529,0.568297,94.2909,27.7748,-0.922415,-2.79549,40.4528,123.08,0
112,136.549,0.41225,-0.833409,148.317,30.8515,-0.445544,-2.99454,33.9647,128.101,1
113,68.1807,-0.449711,-1.70104,75.1921,56.5884,-0.868823,1.39939,79.3242,126.941,1
114,57.5396,-1.12693,-0.064124,98.1106,51.4527,-2.41886,-2.30511,291.277,123.56,1
115,87.0127,-0.92926,0.927019,127.364,36.2322,0.323023,-2.67766,38.139,132.557,0
116,50.0749,0.705683,-0.535954,63.0694,50.0258,-1.33015,-1.21233,101.203,124.92,1
117,65.9001,-1.12593,1.56323,112.275,63.2007,-0.709548,-1.87254,79.7889,130.516,0
118,98.8642,-0.0449583,3.12025,98.9641,25.8301,-1.55046,-0.909825,63.6167,123.674,1
119,48.2813,2.14447,-0.628866,208.929,31.0629,0.49098,2.5767,34.8827,105.437,0
120,104.114,2.20152,-0.47087,476.291,35.2886,2.31095,2.25184,179.675,118.764,1
121,92.5729,-1.61636,-0.694265,242.234,36.6456,-0.984088,2.58801,55.8691,122.084,0
122,103.903,1.76345,-0.743984,311.914,39.91,1.5492,-3.10202,98.1806,119.832,1
123,50.7803,1.43114,-2.66524,112.288,30.2289,-0.678276,0.962951,37.4532,124.715,0
124,72.1455,-0.566719,1.56501,84.0445,48.6804,-0.668767,-1.33957,59.9784,117.85,0
125,72.5271,0.467592,1.85818,80.6014,63.6575,-0.115379,-0.270783,64.0817,125.452,1
126,44.0007,1.60685,-1.05318,114.13,36.58,0.00951748,2.1194,36.5817,107.212,0
127,53.3966,-1.05028,-2.99182,85.6561,37.5432,0.735919,-0.454562,48.1766,124.886,0
128,57.0869,-0.392652,-0.440556,61.5444,51.4076,0.547443,2.88834,59.3052,120.11,1
129,114.424,-2.12479,-0.570664,485.764,33.7456,-0.629055,2.06627,40.6455,157.66,0
130,43.6168,-0.599514,2.72779,51.6927,35.1068,1.25292,-0.459344,66.4609,114.288,0
131,65.8131,-1.24767,-0.924881,124.038,44.2337,0.141218,2.80408,44.6755,131.329,0
132,46.4991,1.32011,-0.0125357,93.2529,31.6512,-0.558245,-3.08595,36.7124,113.097,0
133,42.9619,-1.8259,-0.895529,136.822,27.6847,0.168332,2.59862,28.0779,105.51,0
134,134.274,-2.14404,-0.296106,580.804,41.5252,-0.989421,0.864515,63.564,122.48,1
135,92.7593,2.31443,0.312174,473.907,27.7939,1.06171,-2.20506,44.9867,118.082,0
136,66.902,-0.555743,2.93386,77.502,47.5127,-1.2115,-0.3887,86.8592,118.438,1
137,81.2915,0.0448644,2.78267,81.3733,33.7267,1.73537,-0.889821,98.6063,141.776,0
138,57.0463,-0.752345,-2.50898,73.967,55.5463,-1.80158,0.655535,172.867,128.427,1
139,82.2681,0.647132,-0.929242,100.104,47.3848,0.0221404,2.22135,47.3964,131.018,0
140,49.9092,2.02066,2.1684,191.549,33.7046,0.468382,-0.984101,37.4697,108.0,0
141,66.5077,-1.7059,-2.70417,189.146,30.8129,0.530743,0.0162127,35.2556,152.133,0
142,55.0115,0.177042,-2.91024,55.8759,37.2981,1.84728,0.22198,121.223,124.064,1
143,50.0855,0.181113,1.29752,50.9092,27.1862,2.01719,-1.66447,103.99,106.942,0
144,93.0002,-1.01608,1.72091,145.283,38.972,-1.6436,-1.8249,104.583,124.049,1
145,81.6852,-0.443663,2.13661,89.8573,35.0321,0.703802,0.214779,44.0726,109.046,0
146,51.1816,0.0920587,1.24914,51.3986,47.3704,1.55103,-1.19305,116.729,121.257,1
147,77.7904,1.1052,0.120096,130.336,37.339,0.227803,2.95937,38.312,117.21,0
148,41.4617,0.336824,1.2282,43.8359,29.9468,-1.97693,-1.85965,110.19,123.119,1
149,46.182,-0.85842,-2.95896,64.2683,41.2636,0.452134,-0.116806,45.5536,105.934,0
150,67.2162,-0.908827,-2.8063,96.9395,56.7939,-0.682974,0.536696,70.5626,123.738,0
151,74.2756,-0.155124,0.748425,75.1711,50.2619,-0.77947,-2.11489,66.3197,127.078,1
152,47.8294,0.0435139,0.291438,47.8747,39.3818,-1.78416,-2.26388,120.558,123.109,1
153,47.2926,0.645741,-2.25685,57.5001,26.7706,-2.15747,1.81566,117.319,149.918,0
154,74.3226,-1.55057,-1.07959,183.067,48.1885,-0.686042,3.01754,59.9803,118.933,1
155,99.613,0.391462,-2.10836,107.343,40.687,0.126365,1.30547,41.0123,127.278,1
156,60.8878,0.838092,-0.320393,83.5529,36.9977,2.33811,-2.98808,193.464,120.862,1
157,51.4045,0.268344,3.07683,53.2664,49.2074,-0.793952,-0.154666,65.5486,115.025,0
158,66.9711,-1.11493,2.86888,113.091,60.5141,-1.36011,0.308367,125.666,122.985,1
159,53.3472,0.96302,-1.82849,80.0564,44.1179,-0.572828,0.796783,51.5562,124.632,1
160,90.2516,0.356855,2.1018,96.0594,47.3565,0.614589,-1.78552,56.5854,122.934,1
161,48.5,0.776873,0.807435,63.8867,45.9891,-0.934632,-1.30933,67.5812,122.759,1
162,48.616,-0.324837,1.87339,51.2036,47.1825,1.19303,-1.38868,84.9369,124.59,1
163,55.5341,-1.52805,-1.63823,134.008,52.3877,-0.41142,1.54589,56.8843,125.11,1
164,58.1834,-0.908123,-2.90744,83.8697,48.3714,0.281853,0.124733,50.3055,125.309,1
165,58.9071,0.292297,3.07455,61.4415,56.2017,-0.621607,0.0877705,67.4139,126.99,1
166,64.1009,-1.53152,0.668391,155.17,54.6827,-1.31425,-2.81232,109.11,117.421,1
167,55.3273,0.989151,1.52587,84.674,38.5133,-0.638512,-1.10691,46.6346,122.435,1
168,73.9774,-1.03121,1.07745,116.922,49.9416,-0.871621,-1.99564,70.1443,121.882,1
169,86.1819,0.47464,-2.92411,96.0732,45.5179,0.555765,0.226562,52.7304,125.367,1
170,35.3243,0.450384,0.462542,38.968,35.0384,-1.61664,-2.62651,91.7078,111.392,0
171,51.5461,1.23036,-2.82184,95.7376,28.4689,-1.22009,-1.08611,52.4212,132.746,0
172,66.842,0.956733,-0.374451,99.8393,60.4421,0.941007,2.61784,89.2365,126.773,1
173,51.7978,0.387722,0.123562,55.7402,28.8671,-1.72986,2.5001,83.9628,121.508,0
174,68.5757,-0.685007,2.39606,85.3039,46.8097,-1.67363,-0.919838,129.173,127.06,1
175,77.1776,-1.51637,-2.16533,184.267,44.0031,-1.82397,1.52348,139.881,113.65,0
176,35.9474,-1.28842,-1.80059,70.1468,35.1652,0.986373,1.87226,53.7046,120.848,0
177,92.7439,-0.93788,1.55742,136.612,39.942,-0.777206,-1.68331,52.6251,121.971,1
178,59.0163,2.36868,2.46616,318.007,58.9801,1.43028,-1.14008,130.32,128.382,1
179,72.4683,1.91734,0.235509,251.822,28.5017,0.283016,-2.96367,29.6508,122.942,1
180,79.4352,1.37597,0.626818,167.271,56.3842,0.232448,-2.43023,57.9144,156.228,0
181,61.0985,-0.213754,0.70746,62.4996,41.353,-1.20214,-1.95412,75.0096,110.504,0
182,75.2808,-1.14762,1.83613,130.54,57.858,-0.0748623,-0.684745,58.0202,145.977,0
